feature,gain
batteam_par,103477134079.0
current_score,72577066050.0
fours,47150661630.0
venue,36130985037.0
wickets_left,34109857167.0
event,28404321013.0
innings,14486887507.0
crr,11209195849.0
bowling_team,10355102056.0
batting_team,9989850994.0
runs_needed,8388104755.0
target_runs,6077998865.0
match_type,6019364212.0
bowlteam_par,5215190129.0
resource,4673130761.0
balls_bowled,3714059395.0
dot_pct,3347324130.0
family,2498626424.0
venue_n,2253439796.0
last30_wkts,1703732057.0
venue_par,1192935709.0
balls_left,1093293441.0
total_balls_f,1065640782.0
is_chase,774392208.0
boundary_pct,672500023.0
bat_balls,600633050.0
progress,555857838.0
year,551684924.0
bat_sr,418501515.0
bat_won_toss,222597109.0
gender,170966180.0
last30_runs,149310598.0
sixes,94052591.0
bowl_econ,35672092.0
bowl_balls,30737862.0
bowl_sr,11870196.0
